id;fold_0_vote;fold_0_margin;fold_1_vote;fold_1_margin;fold_2_vote;fold_2_margin;fold_3_vote;fold_3_margin;true_votes;mean_margin;DEF
407;FALSE;-4.375000160187483;FALSE;-5.000000011641532;FALSE;-4.499999776482582;FALSE;-4.750000225380063;0;-4.656250043422915;FALSE
408;FALSE;-3.3749999217689037;FALSE;-3.3750001043081284;FALSE;-2.500000089406967;FALSE;-2.5000000447034836;0;-2.9375000400468707;FALSE
414;FALSE;-5.250000216066837;FALSE;-5.99999993853271;FALSE;-4.250000152736902;FALSE;-5.874999908264726;0;-5.343750053900294;FALSE
416;FALSE;-2.1249999925494194;FALSE;-2.5000000968575478;FALSE;-1.5000000447034836;FALSE;-2.8750000782310963;0;-2.2500000530853868;FALSE
417;FALSE;-2.625000052154064;FALSE;-3.1249999552965164;FALSE;-2.5000000670552254;FALSE;-2.750000052154064;0;-2.7500000316649675;FALSE
425;FALSE;-4.500000229105353;FALSE;-4.249999875202775;FALSE;-5.5000001029111445;FALSE;-4.625000227242708;0;-4.718750108615495;FALSE
428;FALSE;0.0;TRUE;0.75;TRUE;0.375;TRUE;0.25;3;0.34375;TRUE
441;FALSE;-4.875000218860805;FALSE;-5.000000067986548;FALSE;-4.1250000055879354;FALSE;-4.999999938067049;0;-4.750000057625584;FALSE
459;FALSE;-4.624999884516001;FALSE;-5.000000017229468;FALSE;-4.499999911524355;FALSE;-5.249999947845936;0;-4.84374994027894;FALSE
464;FALSE;-3.7499999422580004;FALSE;-4.374999888241291;FALSE;-2.7500000670552254;FALSE;-3.250000048428774;0;-3.5312499864958227;FALSE
466;FALSE;-2.8749999962747097;FALSE;-3.7500001043081284;FALSE;-2.8749999441206455;FALSE;-3.7499999552965164;0;-3.3125;FALSE
467;FALSE;-3.625000026077032;FALSE;-4.00000006519258;FALSE;-3.875000052154064;FALSE;-4.625000064261258;0;-4.0312500519212335;FALSE
468;FALSE;-2.3750000298023224;FALSE;-2.750000011175871;FALSE;-2.125000022351742;FALSE;-2.499999947845936;0;-2.4375000027939677;FALSE
469;FALSE;-4.125000212341547;FALSE;-4.250000041909516;FALSE;-4.3749997625127435;FALSE;-4.2500000689178705;0;-4.250000021420419;FALSE
476;FALSE;-2.5000000074505806;FALSE;-3.125000100582838;FALSE;-2.2500000670552254;FALSE;-2.8750000186264515;0;-2.687500048428774;FALSE
479;FALSE;-4.375000195577741;FALSE;-5.37499980116263;FALSE;-4.000000221654773;FALSE;-5.875000017462298;0;-4.9062500589643605;FALSE
480;FALSE;-4.750000147148967;FALSE;-5.249999937135726;FALSE;-5.375000142492354;FALSE;-5.375000222120434;0;-5.18750011222437;FALSE
489;FALSE;-6.374999866937287;FALSE;-6.875000011525117;FALSE;-7.249999830615707;FALSE;-7.374999764724635;0;-6.968749868450686;FALSE
490;FALSE;-7.000000113504939;FALSE;-7.750000018393621;FALSE;-8.249999943422154;FALSE;-6.125000045169145;0;-7.2812500301224645;FALSE
492;FALSE;-7.249999792082235;FALSE;-7.874999821593519;FALSE;-6.250000054482371;FALSE;-7.499999829917215;0;-7.218749874518835;FALSE
494;FALSE;-3.624999927356839;FALSE;-4.250000115483999;FALSE;-3.375000037252903;FALSE;-4.124999932944775;0;-3.843750003259629;FALSE
499;FALSE;-1.7500000447034836;FALSE;-2.125000022351742;FALSE;-1.3749999552965164;FALSE;-1.9999999701976776;0;-1.8124999981373549;FALSE
506;TRUE;0.375;TRUE;0.625;TRUE;0.5;FALSE;0.0;3;0.375;TRUE
531;TRUE;1.125;TRUE;0.6249999701976776;TRUE;1.6249999850988388;TRUE;0.625;4;0.9999999888241291;TRUE
538;FALSE;-1.5000000149011612;FALSE;-2.124999910593033;FALSE;-1.1249999701976776;FALSE;-1.7500000298023224;0;-1.6249999813735485;FALSE
