id,text,true_label,predicted_label
1012242835480806,charakterloses gesindel was dort die macht übernommen hat,True,False
977026749002415,"Die USA bzw die NWO finanziert ja durch ihre verbündeten wie Saudi-Arabien die Terroristen damit erst ein Flüchtlingssturm nach Europa zieht und anschließend soziale Unruhen (Bürgerkrieg)ausbricht......die Amis sorgen sogar im eigenen Land dafür das dort bald ebenfalls Unruhen kommen und die Fema die KZ ähnliche Lager (wen nicht noch schlimmer)betreibt selektiert seit Juni diesen Jahres sogar schon die Bürger wer direkt stirbt,wer ins Lager kommt und wer treu ergeben ist. Anschließend wird ein weltweiter Krieg ausbrechen durch Kämpfe zwischen Iran vs Israel oder Saudi-Arabien ausgelöst.....das ziel der NWO ist danach erreicht:große Teile der Weltbevölkerung ausgelöscht und den Rest komplett unter Kontrolle und als Zwangsarbeiter eingesetzt,natürlich alle mit mikrochips der Fema ""ausgestattet"" was in USA und Afrika teilweise seit 2013 schon der Fall ist! Mal schauen wie lang es dauert bis der Kommentar gesperrt wurde.....",False,False
856768134361611,Dresdener Bürger gehen hier für mehr Demokratie auf die Straße. Dresden ist doch jetzt schon zur heimlichen Hauptstadt der Demokratie in Deutschland geworden. Berlin = Multikulti und Verarschung des Deutschen Volkes.,False,False
1073,"@KokoLores20 Frage mich schon seit Jahren, wieviel Stoff jemand intus haben muß, um solche deutschfeindlichen Idioten zu wählen?!",False,False
982739818431108,"Wir haben uns die Pest ins Land geholt ! Wir wurden auf linke Art,ohne Krieg,besetzt ! Alles nur hirnlose Idioten,die das zu verantworten haben !",False,False
1015,"@BVBorussia_ @rponline Was hat diese saublöde Frage mit meiner ""Fußballerfrage"" zu tun? 80% der Fußballvereine, bestehen nur aus Legionäre! Das ist trauriger Fakt!",False,False
994054977299592,"Sandro Rodriguez, vor dieser Bezeichnung muss aber unbedingt stehen: ""Islamische Republik Asylistan"". Und dann wird die größte Mosche in Europa gebaut mit dem Namen: ""Fatma Merkel und Gaukler Mosche"". Natürlich müssen beide vorher beschnitten werden.",False,False
1391786441303265280,@hamadsportlich @Laza069 @delilabaatzen @niddalas2021 Du fetter Hurensohn hahahahahahahahah du machst fake leak aber beim echten einfach fetter Hurensohn kanake der stinkende Eier hat,True,True
1134089513296137,"Murks Merkel, ich war knapp 20 Jahre als Außendienstingenieur im Einsatz, in Europa, aber auch in Afrika (Nigeria, Uganda, Tanzania, Cote d´ivoire, Kamerun ...), in Nahost (Iran, Saudi, Kuwait, Doha, UAE, Jordanien), ich bezweifle ernsthaft, daß sie dumme Frau jemals so viele nichtdeutsche Menschen kennengelernt und mit ihnen gesprochen haben. Erzählen Sie mir also keinen Scheiß und hauen Sie endlich ab! Sie haben weiß Gott genug Schaden angerichtet!!!",False,False
952178954820528,Mathias Schü ... Dir schreibt man in diesem Zusammenhang groß Du überhebliches ...  Und wenn ich mir das Profil von dem Rotzlöffel ansehe ... Denk ich mir meinen Teil,True,False
982673688437721,"Die Flüchtlinge ich kann es nicht mehr hören 
Ungarn macht es vor wie man das Gesindel behandeln muss",False,False
593,@KrahMax Kirche und Staat sind aus gutem Grund getrennt. Sie sollte neutral sein und sich nicht zu Politischen Statements hin reißen lassen. Der Makel des Verrates haftet seit dem 13 October anno 1307 an der Kirche und ist nicht vergessen.,False,False
